created_at,lang,retweet_count,text
Sun Nov 29 00:55:39 +0000 2015,en,0,Six pairs of socks for $3 @OldNavy (40% discount using store credit) = WIN. #BlackFriday
Sun Nov 29 00:55:41 +0000 2015,in,0,@KSGian_KaJenian @ksgkicutiepie kaisi galat fehmi Hui hai mjhe btaa toh zara takli!
Sun Nov 29 00:55:52 +0000 2015,pt,0,RT @esquecimedisto: Eu adoro os lenços d zara mm mas 25€ tipo não
Sun Nov 29 00:56:02 +0000 2015,en,0,Hensem https://t.co/X23ne5SPKi
Sun Nov 29 00:56:09 +0000 2015,en,0,Weekend binges include some goodies from @Forever21 and @JessicaJones
Sun Nov 29 00:56:11 +0000 2015,pl,0,"@xyehetmaknaex ""zara"" aka za 8369373 godzin XDDDDDDD"
Sun Nov 29 00:56:13 +0000 2015,in,0,"RT @bharianmy: Sultan Nazrin, Tuanku Zara sertai larian Hari Keputeraan

Selanjutnya di : https://t.co/oJOAWvw5Lu https://t.co/w9iML3u3Ww"
Sun Nov 29 00:56:16 +0000 2015,ja,0,オシャレ#ZARA を発見！偽物かと思ったが、そうゆうコンセプトのラインらしい。 by mihoco816 https://t.co/aqUtWa4wr7 https://t.co/769o547QBe
Sun Nov 29 00:56:33 +0000 2015,en,0,@sama_llama what did u buy at zara
Sun Nov 29 00:56:35 +0000 2015,ja,0,"RT @teokun711: よくいる褒め上手な
ショップ店員🎉✨

やっぱ似合うとか似合わないとか
はっきり言ってもらえると
助かるよねwwwwwwwwww

そして最初が腹立つwwwwwwww

#アパレル
#ZARAの店員さんRT https://t.co/SPOxNVI…"
Sun Nov 29 00:56:43 +0000 2015,pt,0,Gente o que é isso? Sandália São Francisco Fashion? #morri #zara https://t.co/OVAnk9dOmi
Sun Nov 29 00:57:09 +0000 2015,tr,0,Ümit Besen-Zara... GÜNAY'DA İLKLERİN GECESİ! https://t.co/IpkgCIXil1 https://t.co/0uUenofyUJ
Sun Nov 29 00:57:10 +0000 2015,tr,0,Foto Galeri: Ümit Besen-Zara... GÜNAY'DA İLKLERİN GECESİ! https://t.co/fqq95SXEfE https://t.co/DueJc1hxKA
Sun Nov 29 00:57:28 +0000 2015,en,0,#Zara fires staff for barring hijab wearing woman following social media outrage : 4 https://t.co/VVFZ2ReSXt
Sun Nov 29 00:57:35 +0000 2015,es,0,En @elconfidencial: Brasil acorrala a Inditex: detectados otros 30 talleres de 'esclavos' vinculados a Zara https://t.co/tMbrTyfN65
Sun Nov 29 00:57:57 +0000 2015,ja,0,"RT @teokun711: よくいる褒め上手な
ショップ店員🎉✨

やっぱ似合うとか似合わないとか
はっきり言ってもらえると
助かるよねwwwwwwwwww

そして最初が腹立つwwwwwwww

#アパレル
#ZARAの店員さんRT https://t.co/SPOxNVI…"
Sun Nov 29 00:58:07 +0000 2015,en,0,So heart breaking that @OldNavy doesn't have the Harper pants or the pixie cut pants in short. I would get one in every color if they did 😭
Sun Nov 29 00:58:08 +0000 2015,in,0,"RT @bharianmy: Sultan Nazrin, Tuanku Zara sertai larian Hari Keputeraan

Selanjutnya di : https://t.co/oJOAWvw5Lu https://t.co/w9iML3u3Ww"
Sun Nov 29 00:58:21 +0000 2015,nl,0,Geen #Eurovision2016 voor @zaralarsson. W�l een bezoekje aan @WimOosterlinck! https://t.co/vdRMh0e3qX https://t.co/zjExHWYO1a
Sun Nov 29 00:58:22 +0000 2015,es,0,"De nada sirve que seas ""Modelo"" si estás jodido y usas Zara! 😂😂"
Sun Nov 29 00:58:44 +0000 2015,in,0,"ZARA CLUTCH ULAR BLUE
 RP 115.000 
20x15

matt kulit sintetis import… https://t.co/UhThWGeX5J"
